name,specobjid,ra,dec,plate,mjd,fiberid,fehadop,fehadopunc,elodiervfinal,elodiervfinalerr,fehspec,fehspecunc,psfMag_g,fiberMag_g
S759,3667098959547047936,152.18558,2.8040562,3257,54888,156,-1.884692,0.0909,196.63327,12.528237,-1.884692,0.0909,19.233215,19.551208
S3096,2320575977530353664,18.680354,31.99322,2061,53711,350,-1.698642,0.071788,30.201466,5.277812,-1.626854,0.045769,18.388744,18.745028
S2278,3160504466973681664,127.58867,-3.68846,2807,54433,376,-1.733917,0.118,70.765076,3.865413,-1.010615,0.055927,16.732658,17.048904
S1292,3533216923707875328,303.60076,-11.627681,3138,54740,520,-1.799535,0.0315,-192.845062,0.993101,-1.799535,0.0315,16.166719,16.467051
S3164,2532215195892213760,308.5713,13.533924,2249,53566,241,-1.785473,0.058752,-216.656326,1.887467,-1.726721,0.0203,14.936767,15.278636
S1610,3267499596028340224,229.85445,7.741212,2902,54629,502,-1.081208,0.019741,-224.723282,1.812677,-1.061466,0.053233,16.412165,16.726042
S559,3724596546252152832,231.34045,6.95414,3308,54919,435,-1.810165,0.0528,-145.090469,2.494827,-1.810165,0.0528,17.051115,17.364372
S1492,3267470458970204160,228.51905,7.208835,2902,54629,396,-1.852309,0.0297,-139.243591,1.580019,-1.852309,0.0297,15.795476,16.083477
S3482,3215738434098325504,168.49993,39.316299,2856,54463,612,-1.899992,0.0358,-65.542114,1.995738,-1.899992,0.0358,16.229614,16.591673
S4350,1099010840712996864,257.49565,32.744413,976,52413,482,-1.717065,0.0547,-324.244141,4.017397,-1.717065,0.0547,17.437899,17.755432
S4771,566486291231827968,155.35466,2.7907347,503,51999,577,-1.61863,0.0321,200.991699,2.815893,-1.61863,0.0321,16.718031,17.018824
S4954,385063568946522112,238.10229,-0.37283625,342,51691,21,-1.084604,0.0305,-33.916695,1.664461,-1.084604,0.0305,15.528948,15.850941
S4968,345738435597723648,218.60637,-0.38410853,307,51663,317,-1.612319,0.0525,-67.707642,3.123622,-1.612319,0.0525,16.358007,16.655556
S1245,3506217866485669888,29.9193,14.7271,3114,54773,602,-2.684768,0.059674,-23.455067,2.454812,-2.403666,0.0774,18.33165,18.606298
S3682,2137068853677549568,26.233024,15.277239,1898,53260,403,-2.048917,0.0475,10.176425,2.360385,-2.048917,0.0475,15.702582,15.995521
S4550,641855343894226944,144.84735,4.7162445,570,52266,336,-1.710346,0.559,243.959396,13.0836,-1.393214,0.0979,18.331528,18.678217
S2699,2960020610471716864,348.36312,21.941295,2629,54087,108,-1.444454,0.176,-246.988068,3.878096,-1.309951,0.0482,18.536074,18.850756
S1445,2874463221794760704,292.72092,62.252794,2553,54631,148,-1.95454,0.0339,-181.050461,1.456144,-1.95454,0.0339,14.624897,14.975817
S2513,3028771150491576320,166.59677,-14.852751,2690,54211,365,-1.30786,0.0599,84.779633,2.830262,-1.30786,0.0599,16.452099,16.768955
S2364,2615505139498248192,332.86431,5.656928,2323,54380,144,-1.728994,0.1459,-135.928131,14.216543,-1.728994,0.1459,19.634417,19.913305
S2831,2787787057404156928,198.57961,16.212493,2476,53826,214,-1.573841,0.0414,120.380707,7.289423,-1.573841,0.0414,17.339081,17.643717
S2913,2490588788917561344,165.29035,26.891449,2212,53789,357,-9999,-9999,-17.968384,14.813817,-9999,-9999,19.017403,19.331078
S3150,2535637150938982400,340.24252,23.21723,2252,53565,402,-1.750487,0.164308,-285.645325,2.486078,-1.671378,0.0258,16.11216,16.403782
S1410,3166079819016333312,283.17366,18.881051,2812,54639,179,-0.612309,0.18798,-27.680885,7.978455,-0.80029,0.0557,18.339041,18.687227
S224,3836015008169435136,221.3801,21.407237,3407,54971,269,-2.538641,0.0604,-212.213898,1.84667,-2.538641,0.0604,16.031723,16.353209
S2899,2482726181334444032,241.95863,21.022424,2205,53793,425,-1.82355,0.0822,-94.94072,5.052642,-1.82355,0.0822,17.873026,18.19751
S3517,2348757829738850304,135.949,25.009294,2086,53401,475,-1.86599,0.143,41.472633,1.921231,-1.656899,0.0264,15.130911,15.443614
S773,3645792898051579904,185.4729,40.352825,3238,54885,469,-1.614121,0.0402,48.142986,2.349011,-1.614121,0.0402,16.821135,17.133858
S641,3697554332443582464,132.17902,62.881908,3284,54907,360,-2.065555,0.268,-117.091202,4.8428,-1.747078,0.1072,18.58934,18.926775
S1241,3542212303766265856,332.90437,0.36906304,3146,54773,477,-1.881703,0.0626,-80.81794,2.094279,-1.881703,0.0626,16.371744,16.673138
S3699,2159505212740495360,317.44442,-1.026169,1918,53240,106,-1.130083,0.0244,-186.3759,2.003758,-1.130083,0.0244,14.84588,15.162374
S1210,3553401759043002368,54.637525,-1.1126589,3156,54792,224,-1.867802,0.0223,-101.405807,1.592852,-1.867802,0.0223,16.527037,16.84461
S3917,1621462768483854336,171.75396,42.486762,1440,53084,607,-1.782407,0.068,-24.17728,4.670201,-1.782407,0.068,17.255451,17.569332
S3950,1605596539290413056,151.31137,37.432467,1426,52993,230,-2.42424,0.355,150.968491,13.515715,-1.685079,0.0755,18.550383,18.872953
S1041,3596251102254833664,150.34323,43.17031,3194,54833,461,-1.694485,0.0593,21.690601,7.937255,-1.694485,0.0593,18.9091,19.264042
S2231,3224590877158565888,19.162479,-10.344024,2864,54467,49,-1.721494,0.063,-54.1385,4.749331,-1.721494,0.063,18.324663,18.688089
S1845,2752957015469877248,201.89032,66.548976,2445,54573,479,-2.336576,0.4033,-20.508514,4.228456,-2.336576,0.4033,16.101986,16.423403
S241,3723418695276535808,199.70079,-0.90471488,3307,54970,246,-1.909433,0.0747,64.543938,3.121756,-1.909433,0.0747,17.356638,17.717665
S2313,3019669396424517632,102.57432,37.06382,2682,54401,21,-1.769632,0.0658,89.671967,3.27442,-1.769632,0.0658,16.980249,17.282797
S3031,2629117632300738560,48.477706,5.667509,2335,53730,514,-1.868721,0.032,141.298248,2.33147,-1.868721,0.032,16.118387,16.36957
S2431,3152520911249316864,291.0901,37.039235,2800,54326,4,-1.617284,0.167,-253.949646,2.227074,-1.955811,0.0476,16.006952,16.336637
S2078,2449981907975301120,243.20435,51.028822,2176,54243,86,-1.72638,0.0418,-82.28125,2.085639,-1.72638,0.0418,15.885487,16.170349
S1827,3270892138333759488,207.90341,18.925155,2905,54580,556,-1.894583,0.0244,111.013008,1.645432,-1.894583,0.0244,15.298524,15.596132
S2496,3001821571057739776,207.15597,23.928797,2666,54230,627,-1.716359,0.066047,-82.402939,2.492555,-1.563337,0.145681,16.244825,16.573423
S2682,2727102541295806464,126.95086,13.334779,2422,54096,629,-1.642813,0.402012,117.175774,1.954035,-1.2408,0.0367,14.861297,15.197705
S2896,2492753452518631424,170.12573,26.427761,2214,53794,40,-1.763819,0.0429,-55.011742,2.688936,-1.763819,0.0429,15.962423,16.287846
S3231,2534411195339794432,333.48753,20.670838,2251,53557,38,-1.865443,0.014192,-153.553513,2.467877,-1.851251,0.047737,15.993713,16.326435
S3568,2329579047996123136,51.949384,0.641995,2069,53376,335,-1.546121,0.0706,-100.595856,10.448212,-1.546121,0.0706,19.07443,19.376556
S3550,2296898264017954816,18.679669,25.080808,2040,53384,227,-2.167254,0.0329,-379.126953,1.639658,-2.167254,0.0329,15.429189,15.746519
S3499,2274353053756844032,189.82898,33.006997,2020,53431,128,-1.942927,0.227,66.748047,3.331126,-1.3941,0.0393,16.855404,17.179482
S3431,2354272431079712768,165.78489,36.400472,2091,53447,57,-2.621222,0.195359,-44.769112,2.308796,-2.260343,0.037,16.022875,16.362671
S4636,766830232429684736,351.94461,1.1586768,681,52199,336,-2.055433,0.0479,9.752398,2.310691,-2.055433,0.0479,15.16661,15.485971
S24,3894523046144352256,244.52998,30.777354,3459,55007,128,-1.868376,0.0549,-136.023575,2.895339,-1.868376,0.0549,17.026373,17.429111
S3785,1768832787365783552,248.94085,22.45221,1571,53174,160,-1.678283,0.03,-199.684525,3.630327,-1.678283,0.03,16.853399,17.149466
S3299,2057149206291834880,216.86086,6.7672226,1827,53531,473,-1.607771,0.052115,82.323776,4.008672,-1.576787,0.101437,16.699085,17.01754
S1678,2448961292497610752,241.19052,6.150775,2175,54612,469,-1.872741,0.0566,11.140195,3.92827,-1.872741,0.0566,17.614292,17.918556
S4036,1497563746556471296,227.142,48.810582,1330,52822,425,-1.78663,0.0291,-239.632782,2.521496,-1.78663,0.0291,15.822461,16.189779
S3985,1459194091630782464,126.06878,6.1667112,1296,52962,101,-1.856848,0.17,235.422226,3.358971,-1.576987,0.0315,16.655506,16.983196
S2931,2671927667921545216,154.38074,20.173998,2373,53768,608,-2.052756,0.0414,215.479477,2.552559,-2.052756,0.0414,15.938683,16.274996
S4450,683483405588916224,217.85343,59.690451,607,52368,226,-1.663209,0.239158,-67.061478,1.751345,-1.424051,0.0404,15.147517,15.498015
S5,3536566865256095744,330.37587,7.4194624,3141,55008,419,-2.08542,0.120715,-163.888321,1.849372,-2.206135,0.0431,16.634825,16.936657
S4149,1390583462720727040,147.12302,8.7036775,1235,52734,353,-2.101815,0.435643,193.838913,6.13145,-1.666173,0.0444,17.835772,18.157093
S4186,1361292197072234496,129.01903,31.499068,1209,52674,288,-1.55864,3.185451E-3,184.404907,3.588475,-1.561825,0.0292,16.671825,17.018583
S2664,2880103983085545472,185.681,-0.432941,2558,54140,189,-1.209194,0.041926,164.431793,2.965932,-1.209194,0.041926,17.102255,17.414873
S3600,2303681425171310592,31.213176,23.546545,2046,53327,328,-2.465352,0.102,105.818703,2.688353,-1.92672,0.0264,16.095486,16.449404
S2264,3206649046181636096,6.592347,-18.84202,2848,54453,313,-1.988438,0.0546,-174.163422,1.407301,-1.988438,0.0546,14.930558,15.274611
S2413,3152602000231865344,289.41555,37.056792,2800,54326,299,-0.971111,0.0409,-1.790054,2.057435,-0.971111,0.0409,15.94365,16.288378
S1477,2593113589376116736,302.54998,-10.413772,2303,54629,604,-1.383005,0.317,-134.466278,1.611243,-1.803306,0.0321,14.718612,15.035549
S1545,2609922648246872064,300.61012,-11.454782,2318,54628,315,-1.448613,0.233291,-9.122449,5.2927,-1.215322,0.0598,18.405611,18.732122
S1592,3149272683888273408,262.25237,8.070183,2797,54616,475,-1.358985,0.133,89.554054,2.174848,-1.320412,0.0303,16.233379,16.543877
S1595,3172842090019186688,262.4019,7.036367,2818,54616,204,-1.178868,0.064925,-136.242584,6.278743,-1.133013,0.0556,18.596537,18.918308
S2060,3121163117908748288,214.11656,20.743048,2772,54529,613,-1.696979,0.0306,41.261715,2.493041,-1.696979,0.0306,16.264931,16.549616
S2578,2760792953336129536,180.61584,39.893619,2452,54178,314,-1.583434,0.377,17.948219,4.272676,-1.05481,0.0156,17.072519,17.39286
S1660,2454498158193960960,253.4381,23.136481,2180,54613,132,-2.090042,0.0427,-104.150253,3.456263,-2.090042,0.0427,16.967344,17.302778
S3982,1363519537617594368,134.42947,34.89289,1211,52964,199,-2.413386,0.37,51.898689,9.556794,-2.194378,0.0891,18.001638,18.356262
S4604,825394070149949440,326.74622,12.407472,733,52207,398,-1.536707,0.0373,-336.844849,2.203549,-1.536707,0.0373,16.085155,16.315504
S141,3892380922229661696,253.50577,34.855342,3457,54984,527,-1.465605,0.13,-151.859543,3.512748,-1.396095,0.0456,17.744841,18.061201
S3064,2614353390112630784,46.033608,5.377068,2322,53727,50,-1.893087,0.0535,-21.248991,5.273884,-1.893087,0.0535,18.512682,18.854895
S2178,2990537287483287552,182.39228,25.865731,2656,54484,535,-1.906093,0.0467,-95.978607,2.937407,-1.906093,0.0467,16.932991,17.2705
S2732,2708994684096636928,151.26296,25.136148,2406,54084,289,-1.438741,0.092814,-75.10128,2.912574,-1.531555,0.0439,17.838593,18.174162
S2013,2536726233748629504,262.23116,32.742433,2253,54551,268,-1.866654,0.032,-166.478439,2.114244,-1.866654,0.032,16.090813,16.405653
S2246,3215639752929732608,166.10166,37.501888,2856,54463,253,-2.236985,0.0528,154.704559,2.411626,-2.236985,0.0528,16.017805,16.317541
S4617,782510642681636864,20.282715,0.09609275,695,52202,37,-2.229607,0.164,-122.670364,7.114074,-1.848066,0.0507,17.980747,18.283039
S3799,1764342381844391936,254.16337,17.933724,1567,53172,208,-1.47181,0.171,-64.335632,3.68849,-1.589128,0.029,16.604132,16.919792
S3867,1592188272249956352,252.69837,24.32972,1414,53135,603,-1.66753,0.0366,-68.955139,12.139088,-1.66753,0.0366,18.55159,18.870094
S659,3653672548283031552,176.49109,12.752813,3245,54894,463,-2.105451,0.0737,-3.035604,4.312061,-2.105451,0.0737,18.224434,18.591459
S123,3902432108009857024,238.80143,43.166316,3466,54998,229,-1.094335,0.029,-280.640808,2.232935,-1.094335,0.029,16.436878,16.787191
S3935,1614706818766891008,163.63388,46.303428,1434,53053,605,-1.780239,0.039,4.922038,3.799782,-1.780239,0.039,16.995926,17.366348
S4050,3892250080345956352,253.45216,32.767954,3457,54984,51,-2.485679,0.0351,-26.705509,2.160299,-2.485679,0.0351,15.934861,16.264317
S4285,1177725428689823744,217.74897,49.374745,1046,52460,124,-2.195083,0.0773,-207.627304,3.338087,-2.195083,0.0773,16.367641,16.703243
S4136,1122658592432875520,154.26259,6.9464882,997,52734,496,-0.391731,0.05402,124.677727,5.091511,-0.391731,0.05402,17.270485,17.634954
S1059,3576004145368375296,159.6223,53.71745,3176,54832,531,-2.16083,0.277173,-18.326777,2.021446,-1.883657,0.0344,16.313196,16.661524
S4685,687982876796413952,225.20163,60.519591,611,52055,211,-1.718541,0.0593,-201.198273,5.111583,-1.718541,0.0593,17.341251,17.657709
S2999,2327383879104620544,37.974526,-8.05077,2067,53738,541,-1.193061,0.488,-130.429245,3.899782,-1.875153,0.0561,17.794308,18.153957
S4868,541697800056891392,148.35016,2.137239,481,51908,509,-2.390574,0.202,288.076172,6.202046,-1.971189,0.062,18.061506,18.381273
S2463,2450015717957855232,242.42831,51.639782,2176,54243,209,-1.601506,0.0223,-239.378235,1.81763,-1.601506,0.0223,15.42696,15.764872
S1846,2752841566748960768,204.5732,65.882594,2445,54573,59,-1.624506,0.081,18.613314,4.576068,-1.520921,0.0411,16.054642,16.350386
S4536,368232529943095296,173.1644,-3.0683023,327,52294,230,-1.707415,0.0674,-22.87763,5.065983,-1.707415,0.0674,17.663759,17.980503
S1378,3275288261924251648,222.11023,-0.473153,2909,54653,165,-1.636521,0.174,49.236446,3.786745,-1.651474,0.0586,17.508179,17.817558
S2063,3251615499619952640,134.48957,2.440134,2888,54529,60,-0.918965,1.679303E-3,189.362167,2.741026,-0.918656,0.0271,17.134968,17.477856
S2531,3055843050862438400,118.75775,18.402987,2714,54208,548,-1.512868,0.0418,52.536572,3.311233,-1.512868,0.0418,17.042906,17.325817
S2528,3055822709897324544,117.72647,17.908044,2714,54208,474,-2.20543,0.0766,285.49173,2.36075,-2.20543,0.0766,16.060104,16.359739
S1527,2592966804573808640,302.48287,-12.076063,2303,54629,70,-1.604546,0.0222,-27.868542,1.951018,-1.604546,0.0222,15.968818,16.261774
S2128,2948854527165491200,201.15167,20.638085,2619,54506,446,-9999,-9999,28.532772,2.058521,-9999,-9999,15.422614,15.79532
S2714,2709026020178028544,152.21236,26.914946,2406,54084,403,-1.459193,0.062,241.13295,6.38057,-1.459193,0.062,18.895842,19.181967
S991,3584918436192559104,44.421608,-0.44166233,3184,54850,193,-2.205782,0.0611,11.828152,4.093133,-2.205782,0.0611,18.091478,18.381989
S3281,2458003932950063104,267.57159,25.487723,2183,53536,598,-1.797478,0.0414,-137.236771,1.60945,-1.797478,0.0414,14.496294,14.802071
S1877,3265254117399881728,197.97927,40.461165,2900,54569,525,-1.666943,0.126538,86.533012,2.149975,-1.540405,0.0216,15.876714,16.164309
S3250,2453445358060070912,308.88263,76.725359,2179,53555,398,-2.335256,0.088429,-325.105072,3.13419,-2.17359,0.0487,16.663727,17.113707
S191,3857415077959409664,251.10318,20.498815,3426,54977,298,-1.370191,0.0608,-99.390327,3.615379,-1.370191,0.0608,17.949093,18.284575
S3331,1950104876876851200,245.18017,6.9854283,1732,53501,168,-1.367847,0.494,42.340626,2.05197,-1.788228,0.0313,15.606999,15.883279
S3349,1776697874319435776,241.66428,28.876194,1578,53496,101,-1.786059,0.036,-184.719711,4.688934,-1.786059,0.036,17.237997,17.541056
S860,3639015508327636992,170.46362,10.917612,3232,54882,389,-2.221658,0.139946,46.927376,1.731614,-2.234157,0.0528,16.43664,16.784466
S4267,1186710913529440256,239.61246,39.16139,1054,52516,45,-1.923146,0.0732,-114.415482,5.203326,-1.923146,0.0732,17.34647,17.693907
S2596,2716919415579895808,168.85192,10.51137,2413,54169,447,-1.643716,0.225,197.075348,10.020327,-1.798164,0.0893,19.264099,19.591326
S4403,1031367510395480064,213.18299,-2.2701338,916,52378,157,-1.802963,0.0707,194.795547,3.576319,-1.802963,0.0707,16.736689,17.064068
S4869,311994977607510016,165.17039,0.06819991,277,51908,439,-2.261775,0.186,41.970043,2.862456,-1.867802,0.0302,16.210665,16.509016
S1476,2593072082812168192,301.80334,-10.26916,2303,54629,453,-1.660461,0.246,-241.428406,4.628554,-1.77522,0.054,17.835882,18.174349
S3583,2302506597382907904,30.427906,-0.606918,2045,53350,150,-1.308741,0.0589,-149.816269,3.611051,-1.308741,0.0589,17.600084,17.906126
S3397,1988501471632582656,185.08938,15.280031,1766,53468,590,-2.024044,0.0368,18.402092,2.436512,-2.024044,0.0368,15.577443,15.866131
S3784,1768800351772764160,249.32038,21.450414,1571,53174,42,-2.090742,0.0397,-189.081436,2.257396,-2.090742,0.0397,15.47893,15.757787
S890,3618733091939524608,180.77068,12.516867,3214,54866,330,-1.414947,0.0169,-36.157665,1.479735,-1.414947,0.0169,15.803511,16.138174
S4033,1497465065387878400,229.88522,48.43893,1330,52822,66,-1.20442,0.076723,-1.095164,3.182529,-1.127697,0.0306,16.287685,16.618002
S4119,1316278192356485120,238.90585,46.223837,1169,52753,368,-1.451929,0.203,-71.125153,2.265057,-1.327023,0.0313,15.432055,15.774156
S4234,1124865035747747840,157.40698,7.538505,999,52636,331,-2.027411,0.0574,128.374695,2.752757,-2.027411,0.0574,16.342812,16.663273
S1125,3551250565029797888,150.91352,2.3491504,3154,54821,590,-1.054918,0.071236,131.202042,1.293848,-1.054918,0.0265,16.27109,16.587286
S2362,2951057946353625088,341.19232,30.774137,2621,54380,270,-1.461657,0.072266,-200.942047,2.509502,-1.451733,0.0251,15.436422,15.725918
S1826,3270791258141911040,206.95712,18.19545,2905,54580,189,-2.565832,0.24,18.157583,1.53919,-2.004548,0.0276,14.378992,14.679214
S3097,2588453568818210816,95.253305,63.809485,2299,53711,35,-1.710026,0.0294,-93.665863,1.630249,-1.710026,0.0294,14.174969,14.488205
S3633,2146003485718505472,26.047799,-0.756569,1906,53293,139,-1.877681,0.0272,0.560087,1.548026,-1.877681,0.0272,14.265765,14.571809
S3683,3704355911943430144,255.3123,23.711036,3290,54941,528,-1.733917,0.18,-174.578873,4.092062,-2.186975,0.0464,17.827484,18.179325
S75,3730122693035532288,215.59457,7.794045,3313,54999,59,-1.894683,0.031575,6.991149,7.866329,-1.926259,0.0835,18.613695,18.926598
S25,3894533766382723072,244.06842,30.754621,3459,55007,167,-1.974207,0.168,-172.733246,4.297977,-2.086193,0.0663,17.731842,18.028971
S4069,1508846384437028864,249.63569,32.730689,1340,52781,511,-1.93844,0.218,-166.166595,10.45638,-1.794737,0.0871,18.39044,18.684223
S4219,1138320034683185152,165.2896,52.5486,1011,52652,128,-1.461086,0.0584,-68.085175,5.3595,-1.461086,0.0584,17.35396,17.724228
S4519,931293259462895616,128.56181,37.586851,827,52312,633,-1.225604,0.189,-4.246498,5.925519,-1.187607,0.0656,17.842285,18.169777
S3748,2127959399455549440,320.36764,10.425827,1890,53237,31,-1.806506,0.0556,-366.11145,2.598801,-1.806506,0.0556,15.547639,15.901208
S1562,3294504701051037696,198.05355,1.037577,2926,54625,442,-1.31318,0.375,7.668802,11.754721,-1.563846,0.1743,19.158499,19.511786
S1612,3149318038742919168,263.65918,8.336803,2797,54616,640,-0.675471,0.444,-83.881409,1.989006,-9999,-9999,14.818609,15.125122
S2347,3150345528684865536,278.1056,40.435025,2798,54397,282,-1.296791,0.087476,-153.236191,5.19194,-1.209315,0.032,17.689096,17.991781
S1711,3132416895353907200,234.80304,15.67356,2782,54592,594,-1.761427,0.037,101.300217,2.920284,-1.761427,0.037,16.212704,16.522058
S1411,3166083392429123584,282.99065,18.798195,2812,54639,192,-1.419962,0.054194,-228.256714,3.064116,-1.474155,0.050302,16.806469,17.124144
S2747,2474839111647651840,243.10827,15.45164,2198,53918,404,-2.422269,0.191,-22.195564,6.51413,-1.791882,0.0809,17.66415,18.010139
S4919,430197698730158080,348.85036,1.0213317,382,51816,378,-1.556102,0.1007,-78.777534,3.492605,-1.556102,0.1007,16.610252,16.909416
S425,3704305884164366336,253.52596,23.027967,3290,54941,346,-1.306788,0.338,-145.536987,5.671031,-1.913349,0.0478,18.355249,18.667713
S375,3721130886037610496,186.03649,54.300509,3305,54945,115,-2.294386,0.0516,-307.036987,2.248428,-2.294386,0.0516,16.768682,17.120497
S4333,1095652107786151936,256.09893,33.024986,973,52426,551,-1.391827,0.098,-243.554169,1.857479,-1.518721,0.234,15.037919,15.350093
S3233,2534471393601415168,331.36101,21.431263,2251,53557,257,-1.682586,0.0372,-166.124252,4.764318,-1.682586,0.0372,17.061434,17.408686
S1426,2873437102584915968,279.2106,64.427253,2552,54632,511,-1.795879,0.0402,-298.572968,3.325097,-1.795879,0.0402,17.234943,17.574713
S2462,2449995651870648320,242.93691,51.210812,2176,54243,136,-1.710026,0.0203,-156.107452,1.640602,-1.710026,0.0203,14.664316,14.98356
S2647,2929699654230632448,193.56604,17.792253,2602,54149,393,-1.820803,0.0351,22.598684,3.167457,-1.820803,0.0351,16.405516,16.68712
S1962,3285425757471401984,181.59483,19.92316,2918,54554,181,-1.780467,0.0406,-40.654316,3.884204,-1.780467,0.0406,18.07777,18.38381
S2448,3131168119553288192,231.51755,15.801255,2781,54266,147,-1.205058,0.0413,-63.644394,3.354464,-1.205058,0.0413,17.122316,17.428293
S2898,2653748343087327232,165.21847,24.737897,2357,53793,8,-2.107769,0.449,-50.406334,6.297067,-1.65656,0.1223,17.773529,18.083332
S3133,2569396557937928192,133.20506,22.406115,2282,53683,338,-2.127192,0.0382,-25.271952,1.860932,-2.127192,0.0382,15.210442,15.565027
S4619,782539779739772928,19.3391,-0.07599104,695,52202,143,-1.616079,0.343,38.08984,2.326473,-1.698453,0.0233,15.475509,15.710651
S3298,2458990469724530688,272.13641,22.739689,2184,53534,91,-1.944606,0.0353,-111.012955,2.387318,-1.944606,0.0353,15.874303,16.214994
S2012,2536681153771890688,263.80919,33.092496,2253,54551,104,-2.123099,0.0289,-136.115082,1.788185,-2.123099,0.0289,15.218221,15.51012
S289,3813428290220302336,224.24275,22.555736,3387,54951,19,-1.55442,0.1168,-16.314594,10.125583,-1.55442,0.1168,19.209969,19.53669
S2998,2586336184754006016,146.6158,27.381795,2297,53738,524,-2.001938,0.239,6.398321,2.256752,-1.874119,0.045,16.159435,16.532625
S325,3802303981309501440,200.46323,33.160035,3377,54950,509,-2.242093,0.132,114.273415,2.151334,-1.862636,0.0439,16.700451,17.022541
S3447,2255284223780874240,184.89905,36.722349,2003,53442,388,-2.295705,0.141,169.473541,6.822462,-1.673188,0.0483,17.88345,18.201271
S1175,3548871496409653248,154.83659,35.004126,3152,54801,127,-1.572505,0.669,-163.48204,2.016004,-2.1403,0.0401,16.965992,17.247492
S189,3857429096732663808,251.22963,21.640121,3426,54977,349,-1.535012,0.043017,-72.659325,1.558318,-1.388761,0.201591,16.180201,16.498575
S339,3814640776600723456,222.73792,11.261887,3388,54947,334,-1.378904,0.073025,-31.605923,3.181027,-1.30588,0.0611,17.517288,17.800175
S3834,1600056927449016320,247.24127,29.228431,1421,53149,557,-0.875881,0.0583,-20.803904,8.208769,-0.875881,0.0583,18.252966,18.642946
S1661,2454500357217216512,253.45111,23.220148,2180,54613,140,-1.159008,0.103963,-111.958603,2.221049,-1.090076,0.047048,15.124848,15.461742
S3434,1906189282029103104,255.39111,24.875027,1693,53446,148,-2.148967,0.097,26.916008,15.325198,-2.148967,0.097,18.966341,19.300781
S1811,3268530937129887744,205.55957,9.103336,2903,54581,158,-2.357569,0.249,-52.684772,3.561864,-2.620551,0.2333,16.326365,16.643782
S3484,2233880305649870848,187.07419,40.605041,1984,53433,345,-1.41972,0.0326,-92.126663,2.644658,-1.41972,0.0326,16.136938,16.486956
S4334,953748312471660544,191.99607,6.1870822,847,52426,404,-2.234275,0.0377,196.254974,4.845028,-2.234275,0.0377,17.131554,17.434444
S3384,1908406172801591296,195.19893,11.8508,1695,53473,21,-2.158342,0.0492,-65.69442,4.468964,-2.158342,0.0492,17.184122,17.510733
S3983,1460331811304400896,128.54748,6.4594268,1297,52963,144,-1.675452,0.0999,170.59462,5.985078,-1.675452,0.0999,17.951464,18.268633
S90,3903565704514871296,240.54865,38.769061,3467,54999,257,-1.59676,0.119,-148.780212,3.969523,-1.514992,0.0316,17.657146,17.986822
S1092,3552217035884830720,155.37693,7.8038188,3155,54829,10,-1.495352,0.130358,244.050415,2.331555,-1.364994,0.0382,16.545832,16.880529
S4754,412104688511510528,262.74072,57.954293,366,52017,92,-1.80925,0.0325,-186.583084,3.399865,-1.80925,0.0325,16.517897,16.829201
S41,3888987005031391232,239.18582,46.503712,3454,55003,468,-1.774421,0.0563,-56.90638,3.757431,-1.774421,0.0563,17.691639,17.991356
S2096,3161673524238641152,256.0814,29.314994,2808,54524,533,-1.855865,0.0388,-274.855316,4.16143,-1.855865,0.0388,17.73357,18.036081
S4436,879347658265749504,192.62017,62.106031,781,52373,72,-1.950843,0.0425,-158.069229,3.743124,-1.950843,0.0425,16.527678,16.87396
S173,3858560769109106688,251.08012,40.543988,3427,54979,370,-1.553014,0.18,-85.783493,2.285796,-1.685192,0.0434,16.333355,16.685987
S1027,3500435260963921920,17.0536,-10.7856,3109,54833,45,-1.634985,0.0679,-48.106403,7.018365,-1.634985,0.0679,18.44919,18.780775
S2227,3224677188821346304,17.996347,-8.708736,2864,54467,363,-1.833397,0.0537,-81.492485,4.732367,-1.833397,0.0537,18.341698,18.718649
S2245,3240471398442887168,21.988615,-9.4266677,2878,54465,478,-2.192943,0.588,-51.49313,6.504343,-1.867228,0.0591,18.279055,18.655159
S4585,812919286384322560,340.65792,-9.3341123,722,52224,71,-1.936194,0.135,-18.663265,3.522087,-2.136788,0.0558,16.822605,17.164665
S2764,2456871167286339584,261.802,27.863473,2182,53905,573,-1.664042,0.151,-184.814026,1.859387,-1.722403,0.0264,15.151612,15.457263
S4971,317562075662542848,173.50069,-0.89760542,282,51658,212,-2.062301,0.0805,97.914978,4.309484,-2.062301,0.0805,17.23403,17.549046
S1913,3287657766210004992,189.11873,-0.390416,2920,54562,109,-1.720813,0.0664,71.093697,7.437371,-1.720813,0.0664,18.971817,19.304581
S3750,2128017948449728512,318.19026,9.681265,1890,53237,244,-2.048684,0.062,-320.152527,6.054708,-2.048684,0.062,17.674082,17.973539
S6,3536561917453770752,330.38074,7.1282372,3141,55008,401,-2.027285,0.371,-294.876831,10.275861,-1.671151,0.0447,19.400459,19.6975
S892,3618708627805806592,180.90331,10.623126,3214,54866,241,-1.336726,0.0556,-32.829815,6.550969,-1.336726,0.0556,18.81654,19.119884
S4317,1028068976434898944,206.56072,-1.2896186,913,52433,445,-2.559235,0.207,74.848686,4.840416,-1.557337,0.0634,17.345253,17.715015
S4150,1396204715917731840,158.25994,9.7455057,1240,52734,323,-2.354553,0.158,145.36293,3.168269,-1.834886,0.0426,16.245018,16.550156
S2631,2868937343195179008,97.867799,84.708896,2548,54152,525,-1.643928,0.081766,-285.832275,3.237893,-1.562162,0.0735,17.968903,18.341417
